,title,published,lat,lon,link_url,description,cause,acres
12,Williams Fork Fire (Wildfire),"Tue, 01 Dec 2020 10:37:42 -06:00",39.851111111111,-106.06472222222,http://inciweb.nwcg.gov/incident/6971/,"The Williams Fork Fire was first reported on Aug. 14 at approximately noon and the cause is still under investigation. The origination point was 15 miles southwest of Fraser, Colo. in the Arapaho National Forest. The fire grew in size to 6,122 acres by the end of August 16th, and became a threat to the communities of Fraser and Winter Park.The fuels consisted of heavy dead and down beetle killed lodgepole pine and during the first week low relativity humidity of around 10 to 30 percent contributed to fire growth and behavior. After the initial three-day fire growth, the peak fire spread occurred on Aug. 20 reached 1,977 acres with a total size of 9,444.Over the next two months, the daily fire spread was limited to between 1 and 561 acres and the fire reached it’s current size of 14,833 acres on October 27th and was declared controlled after an infrared flight Nov. 30 detected no remaining heat in the fire area.",Unknown,124924
13,SQF Complex (Wildfire),"Tue, 01 Dec 2020 07:35:02 -06:00",36.255,-118.49666666667,http://inciweb.nwcg.gov/incident/7048/,"Operations Map |  Fire History Map |   Land Ownership Map   |  Fire Progression Map   |   Facebook            Fire personnel in the Sequoia National Forest and Sequoia and Kings Canyon National Parks are now managing the 174,178-acre SQF Complex. This lightning-caused Castle and Shotgun Fires were discovered on August 19, 2020, and later managed as one incident named the SQF Complex. The Castle Fire burned on portions of the Sequoia National Forest and Giant Sequoia National Monument (129,975 acres), Inyo National Forest (12,283 acres), Sequoia National Park (18,292 acres), lands managed by the Bureau of Land Management (728 acres), State (4,036 acres), County, and private lands (4,726 acres) and threatened the Tule River Indian Reservation.   Containment of the SQF Complex has increased to 90% for the portion of the fire managed by the Sequoia National Forest. Due to limited access to the fires edge in remote locations, full containment is not expected...",Prescribed Fire,n/a
14,Fall Prescribed Fire Projects 2020 (Prescribed Fire),"Mon, 30 Nov 2020 14:20:28 -06:00",44.417777777778,-118.95138888889,http://inciweb.nwcg.gov/incident/7216/," Please take a moment to look at the links section of this page to see information on Smoke as well as to access  USFS R6 Tri-Forest Prescribed Fire Projects   Burning has begun at: Emigrant Creek Ranger District  will continue burning of landing and grapple piles in the Upper Pine National Forest System Road 28 areas.   Prairie City- burning piles in the Summit Prairie area today and may  be the next few days.  May move to landing piles near Logan valley if able to gain access and have the personnel.  Burning in the Elk 16 project is done for the year  unless the weather drastically changes  Blue Mountain Ranger District- currently no burning planned.      Burning may take place at: Starr units 31, 32, 33 Approx. 1435 acres. South side of the National Forest System (NFS) road 24 and north of the NFS road 2400071, 9 miles west of Seneca. T16S, R30E, sec 29, 30 & T16S, R29E, sec 24,25Starr units 6, 7, approx. 400 acres south of the NFS road 4920333 west of Highway (Hwy)...",Lightning,8177
15,Slater/Devil Fires (Wildfire),"Sat, 28 Nov 2020 14:40:10 -06:00",41.766111111111,-123.375,http://inciweb.nwcg.gov/incident/7173/,"    Please visit our incident's Facebook page for updates throughout the day at: https://www.facebook.com/SlaterAndDevilFireInformation   The Slater Fire started on September 8, near Slater Butte Fire Lookout on the Klamath National Forest. It is currently burning on the Klamath, Six Rivers, and Rogue-Siskiyou National Forests in Siskiyou and Del Norte Counties in California and Josephine County in Oregon. Road closure and evacuations are in place due to the Slater Fire. The Devil Fire, which was detected on September 9, 2020, is located north of Upper Devil's Peak on the Klamath National Forest.    For Specific Evacuation Information contact: Anyone interested in accessing their home or property should contact the local sheriff’s office. Siskiyou County information: (530) 841-2900 or www.facebook.com/SiskiyouCountySheriff/ Del Norte County information: (707) 464-7213 or www.facebook.com/DelNorteOfficeOfEmergencyServices  and www.preparedelnorte.com/  Closures: The Klamath,...",Unknown,379895
16,North Complex (Wildfire),"Wed, 25 Nov 2020 11:56:38 -06:00",40.090833333333,-120.93111111111,http://inciweb.nwcg.gov/incident/6997/," The incident command post (ICP) for North Complex (Claremont-Bear Fire) operations has shifted from Quincy to Oroville, CA, as higher elevation areas become less accessible for suppression repair and hazard tree removal.  The fire is expected to be 98% contained within a day or so with full containment a week or two off, weather & operations dependent; there is significant heat remaining in lower elevation areas not covered by snow.  Plumas National Forest officials have sharply reduced the closure area which now follows (generally) the actual fire perimeter and affects all national forest land, roads and trails with the fire closure area.  County roads and private land within the perimeter are not affected by the federal land closure. For more information about the closure, please check the forest website at: https://www.fs.usda.gov/alerts/plumas/alerts-notices . Within the closure area, Forest Service trails, roads, and campgrounds are closed. Falling trees (often falling without...",Human,138054
17,Mountain View Fire (Wildfire),"Wed, 25 Nov 2020 10:34:07 -06:00",38.515,-119.46527777778,http://inciweb.nwcg.gov/incident/7270/,"The Mountain View fire is 70% contained at 20,385 acres.  Containment line has been secured around 70% of the fire perimeter; the remaining 30% is under snow.  Fire activity is minimal and confined to “ground fire”.  This means that stumpholes and underground roots are the only fuels actively burning.  Snow melt is aiding in extinguishing these materials.  Generally there are not enough surface fuels to support fire spread.  The remaining visible smokes are from individual burning pinyon trees well within the secured fire perimeter.California Fire Management Team 11 will return management of the Mountain View fire to the hosting agencies:  Bureau of Land Management, the Humboldt-Toiyabe National Forest and Antelope Valley Fire Department today at 8 PM.  Mountain View firefighters will return home tomorrow.Evacuations were lifted yesterday morning for remaining Antelope Valley residents.  Mono County will be updating the following website with recovery resources available...",Unknown,124924
18,Laura 2 Fire (Wildfire),"Tue, 24 Nov 2020 16:31:07 -06:00",40.334166666667,-120.115,http://inciweb.nwcg.gov/incident/7269/,"The fire is fully contained, and the Fort Sage OHV Area has reopened.  This fire started in the Lassen County community of Doyle on Tuesday, Nov. 17.  It destroyed 21 homes and 19 outbuildings.  It burned a total of 2,800 acres, including public lands and developments in the Bureau of Land Management Fort Sage Off Highway Vehicle Recreation Area.  This is the final update for the Laura 2",Prescribed Fire,n/a
19,Grouse Fire (Wildfire),"Tue, 24 Nov 2020 12:49:19 -06:00",43.540555555556,-115.17277777778,http://inciweb.nwcg.gov/incident/7154/," The Grouse Fire started Sept. 6, 2020, about 7:30 p.m. The fire’s ignition location was along the boundary of the Boise and Sawtooth National Forests about 6 miles northeast of Pine, Idaho, in the area of National Forest System (NFS) roads 166 and 166e. Campers were evacuated from the area of the closure. September 21 - This will be the final update unless significant fire activity occurs.The Grouse fire is currently 3,980 acres. The fire crossed into the Sawtooth National Forest and both forests are coordinating on the management of the fire. For public health and safety, a multi-forest closure is in place for the entire fire area. The Incident Commander and all firefighting personnel appreciate the public’s cooperation in staying out of the forest closure area and the Incident Command Post. The local unit will manage the fire.   Objectives: An area closure is in place, including a number of trails and roads. Bulldozers  and handcrews continue to put in line where...",Lightning,8177
20,Middle Fork Fire (Wildfire),"Mon, 23 Nov 2020 17:35:42 -06:00",40.627777777778,-106.79444444444,http://inciweb.nwcg.gov/incident/7153/,"Middle Fork Fact Sheet - 11/02/2020, 2:30 p.m.        Acres: 20,433          Containment: 60%Minimal Fire Behavior with Snow Cover ContinuesRecon flights over the weekend showed no growth. Acreage and containment remain current; most heat remains in the northeast corner of the fire. Most of this isolated heat source is on a north-facing slope and remains covered by snow with minimal sun exposure. Currently 3 engines, 1 squad, and one Type 3 helicopter are assigned to the fire. Many roads and trails approaching the fire are still covered in snow and no ground crews have been able to access the perimeter. Fire behavior continues to be minimal. Area, road and trail closures remain in",Unknown,208913
21,Moraine Fire (Wildfire),"Sun, 22 Nov 2020 18:09:42 -06:00",36.717777777778,-118.55722222222,http://inciweb.nwcg.gov/incident/7089/,"     The Moraine Fire was discovered on August 21 after substantial lightning occurred over the area. It is located within the Sequoia - Kings Canyon Wilderness, southeast of Cedar Grove, Kings Canyon National Park. There is no threat to life or property at this time.   Due to limited firefighting resources and the fire burning in designated wilderness, the fire is being monitored via air. However, fire managers are prepared to send firefighters in if the activity warrants and direct suppression action.  Fire managers continue to use a confine and contain strategy with natural and human-made features to respond to the Moraine Fire. Following the winter storm from November 7 & 8, fire managers continue to conduct helicopter observation missions over the Moraine Fire. Like many of the fires in the Sierra Nevada following this storm, much of the energy was taken out of the fire. However, there was noticeable snow melt by mid-week. A few isolated pockets of heat remain but there...",Unknown,379895
22,Ridge Fire (Wildfire),"Fri, 20 Nov 2020 12:11:03 -06:00",35.007777777778,-113.87861111111,http://inciweb.nwcg.gov/incident/6990/,"NO FURTHER FIRE UPDATES - AREA CLOSURE IS ACTIVE Past Daily Updates/News Releases -INCIDENT SUMMARY-The Ridge Fire located in the Hualapai Mountains, southeast of Kingman, AZ. It started the afternoon of August 16 as the result of a lightning strike from area thunderstorms. The community of Pine Lake is approximately 5 miles north of the fire. As of 9/2/2020 the fire was 100% contained.There are NO threats to homes or structures from the Ridge Fire.  Area residents should always be READY.Closures: On August 26 at 0700, the BLM partially rescinded the Fire Closure Order previously put in place on August 21.  CLOSURE ORDER & MAPThere may be short term access restrictions on BLM Road 7101, also known as Flag Mine Road and Antelope Wash Road as fire crews continue masticating vegetation along those roadways.  County Emergency Notification System: Mohave County residents are encouraged to sign up for the County's Code Red Emergency Notification...",Human,138054
23,Cameron Peak Post-Fire BAER (Burned Area Emergency Response),"Fri, 20 Nov 2020 11:53:51 -06:00",40.608611111111,-105.7625,http://inciweb.nwcg.gov/incident/7210/,"A BAER team conducted a preliminary assessment when the Cameron Peak Fire was approximately 99,000 acres in September. Due to its continued growth, another round of BAER was necessary. This second round began Nov. 9. Results from this BAER team are not expected until after Thanksgiving sometime and will be posted here when available.THREE PHASES OF WILDFIRE RECOVERY   There are three phases of recovery following wildfires on federal lands:      Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned...",Unknown,124924
24,SQF Complex Post-Fire BAER (Burned Area Emergency Response),"Thu, 19 Nov 2020 18:00:04 -06:00",36.169444444444,-118.32722222222,http://inciweb.nwcg.gov/incident/7240/,"  THREE PHASES OF WILDFIRE RECOVERY       There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Prescribed Fire,n/a
25,Mullen Fire (Wildfire),"Thu, 19 Nov 2020 11:12:44 -06:00",41.176388888889,-106.42194444444,http://inciweb.nwcg.gov/incident/7208/,"The Mullen Fire is burning in the Medicine Bow National Forest (MBF), southwest of Centennial, Wyoming. The fire was reported in the Savage Run Wilderness on Thursday, September 17, and spread rapidly in extremely rugged terrain, with dense vegetation and beetle-killed deadfall. The fire continues to burn and has damaged 66 structures. The cause of the fire remains under investigation. Firefighting priorities are public and firefighter safety, the protection of structures and community infrastructure.  Values at risk include multiple communities in the surrounding area and the Rob Roy Reservoir.  Rob Roy Reservoir is the water source for the city of Cheyenne. Regional wildfire resources responded and began fire suppression on the wildfire when it was reported on September 17. The fire continued to grow in complexity requiring elevated incident management. The Rocky Mountain Incident Management Blue Team took command of the fire on September 22. The Southern Area Incident Management...",Lightning,8177
26,Snow (Wildfire),"Wed, 18 Nov 2020 18:38:51 -06:00",33.888888888889,-116.685,http://inciweb.nwcg.gov/incident/7207/,"  Steep rugged terrain San Jacinto Wilderness  On November 16, 2020 San Bernardino National Forest officials announced that the Snow Fire, along with the El Dorado and Apple Fires have reached 100% containment. These fires were previously at 95% containment because uncontained perimeters were located in steep and inaccessible terrain. Containment has now been achieved as fire in uncontained areas has reached natural features void of vegetation.Although full containment has been reached, the three fires remain in a status called uncontrolled. That means smoldering continues within the interior of the burn scar perimeters.Fire restrictions on the forest will remain in effect until conditions improve, and are listed on the San Bernardino National Forest webpage.Portions of the San Jacinto Wilderness, Santa Rosa and San Jacinto National Monument, Tahquitz National Game Preserve as well as portions of the Pacific Crest Trail are within the fire perimeter.  Please visit the forest's...",Unknown,208913
27,Apple Fire (Wildfire),"Wed, 18 Nov 2020 18:30:04 -06:00",33.998333333333,-116.93333333333,http://inciweb.nwcg.gov/incident/6902/,"On November 16, 2020 San Bernardino National Forest officials announced that the Apple Fire, along with the El Dorado and Snow Fires have reached 100% containment. These fires were previously at 95% containment because uncontained perimeters were located in steep and inaccessible terrain. Containment has now been achieved as fire in uncontained areas has reached natural features void of vegetation.Although full containment has been reached, the three fires remain in a status called uncontrolled. That means smoldering continues within the interior of the burn scar perimeters.""We're pleased to see this improvement, but we remain cautious,"" said Deputy Fire Chief Scott Howes. ""We've experienced below normal precipitation and several heat waves over the last six months. Temperatures continue to be high, the vegetation is drying out again and there is no new precipitation in sight.""Fire restrictions on the forest will remain in effect until conditions improve. Campfires, dispersed camping,...",Prescribed Fire,n/a
28,Bell Fire (Wildfire),"Wed, 18 Nov 2020 18:03:46 -06:00",38.183055555556,-119.86861111111,http://inciweb.nwcg.gov/incident/6915/,"The Bell Fire is located in a remote area of the Stanislaus National Forest (STF) on the Summit Ranger District in the Emigrant Wilderness between the 8000 to 9000 ft level. The fire has remained at 50 acres over the last few weeks and is mostly burning inside control lines among a large rocky area with sparse fuels. This fire is located about five miles east of Dodge Ridge Ski Resort, 1.5 miles southeast of Gianelli Trailhead, and 2 miles east of Crabtree Trailhead (as a bird flies), and about a half mile north of Bear Lake. The fire burned north beyond a short section of the Lake Valley (#19E21) trail. See Map link above. Safety is our highest priority, and helping prevent additional wildfires and the spread of COVID-19 among our fire fighters and within the communities we serve is an important part of our focus on safety this year. The STF Incident Management Team is utilizing a confine and contain suppression strategy on the Bell Fire for firefighter and public safety, while...",Unknown,379895
29,El Dorado Fire (Wildfire),"Wed, 18 Nov 2020 16:49:47 -06:00",34.052777777778,-116.99222222222,http://inciweb.nwcg.gov/incident/7148/,"  On November 16, 2020 San Bernardino National Forest officials announced that the El Dorado Fire, along with the Apple and Snow Fires have reached 100% containment. These fires were previously at 95% containment because uncontained perimeters were located in steep and inaccessible terrain. Containment has now been achieved as fire in uncontained areas has reached natural features void of vegetation.Although full containment has been reached, the three fires remain in a status called uncontrolled. That means smoldering continues within the interior of the burn scar perimeters. As an illustration of that, smoke continued to be seen from the El Dorado Fire in the Forest Falls, Calif., community during the second week of November after a winter storm brought several inches of snow.Evacuation warnings were lifted on Wednesday, November 11 at 8:50 AM by the San Bernardino County Sheriff for the communities of Mountain Home Village, Forest Falls, Angelus Oaks, Seven Oaks, and Barton...",Human,138054
30,Slater/Devil Post-Fire BAER (Burned Area Emergency Response),"Tue, 17 Nov 2020 14:18:58 -06:00",41.85,-123.51388888889,http://inciweb.nwcg.gov/incident/7237/,"THREE PHASES OF WILDFIRE RECOVERY   There are three phases of recovery following wildfires on federal lands:      Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration        Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate actions to...",Unknown,124924
31,Archie Creek Fire (Wildfire),"Tue, 17 Nov 2020 12:59:53 -06:00",43.333888888889,-122.78805555556,http://inciweb.nwcg.gov/incident/7176/,"  The Archie Creek Fire is located east of Roseburg in the North Umpqua corridor on state, private and federal land.    The Thielsen Fire is located on the Umpqua National Forest near Diamond Lake. There will be continue to be some smoke visible from smoldering stumps and logs within the fire perimeter until these are extinguished by winter rains.   Motorists are advised to monitor https://www.tripcheck.com/ for updates on the highway closure.   For information on area closures on BLM managed lands and the Umpqua National Forest, click on the Closure tab at the top of the",Prescribed Fire,n/a
32,Calwood Fire (Wildfire),"Sat, 14 Nov 2020 17:45:20 -06:00",40.153611111111,-105.38166666667,http://inciweb.nwcg.gov/incident/7245/," 11/14/2020 Update:The #CalWoodFire was contained today at 11:30 AM. The fire was again tested by high winds today and showed no signs of heat or smoke. Firefighters will continue to check the fire daily. This will be the last update unless something significant happens. 11/13/2020 Update:The #CalWoodFire remains 85 percent contained. Today, the fire was tested by winds but showed no signs of smoke or heat. Additionally, the MMA flight detected no heat sources in the fire area. Boulder County Communications Center continued to receive multiple phone calls about smoke columns. This was confirmed to be snow, ash and dust blowing in the wind by firefighters patrolling the fire. Please rest assured, firefighters will continue to closely monitor and patrol the fire for any sources of heat or smoke. Higher winds are expected tomorrow in the 60 mph range with gusts up to 80 mph. A storm this weekend is expected to bring more snow to the fire area.11/12/2020 Update: The #CalWoodFire remains...",Lightning,8177
33,Bullfrog Fire (Wildfire),"Sat, 14 Nov 2020 16:00:37 -06:00",37.141111111111,-119.02527777778,http://inciweb.nwcg.gov/incident/7191/,"The Bullfrog is located forty-three miles northeast of Clovis, CA., on the eastern fringe of the Dinkey Lakes Wilderness west of Courtright Reservoir. This fire is not related to the Creek Fire, it is a separate start discovered on September 09, 2020 at approximately 3:09 PM. It is being managed by the Sierra National Forest using a confine and contain strategy taking advantage of  trails, natural features, and hand crews to fully suppress this fire. The Bullfrog Fire has burned 1185 acres and is 60% contained. Crews remain on scene to continue to monitor the suppression lines on the east side of the fire and to strengthen, and improve control lines as needed. The west side of the fire will be allowed to burn until it reaches natural barriers keeping the fire contained. There is no threat to life or property.The fire will remain at 60% containment until a season ending event occurs (rain/snow). The west side of the fire does not have a containment line instead the IC...",Unknown,208913
34,Creek Post-Fire BAER (Burned Area Emergency Response),"Sat, 14 Nov 2020 15:58:01 -06:00",37.1,-119.16666666667,http://inciweb.nwcg.gov/incident/7221/,"  THREE PHASES OF WILDFIRE RECOVERY       There are three phases of recovery following wildfires on federal lands:       Fire Suppression Repair     Emergency Stabilization-Burned Area Emergency Response (BAER)     Long-Term Recovery and Restoration         Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.     Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate...",Prescribed Fire,n/a
35,White River (Wildfire),"Fri, 13 Nov 2020 12:56:22 -06:00",45.181388888889,-121.57555555556,http://inciweb.nwcg.gov/incident/7013/,"The White River Fire is located in Wasco County, Oregon and back under the management of the Mt. Hood National Forest.  As of 11/13/2020 this fire is in patrol status. Forest Closure: To ensure public and firefighter safety, areas of the Mt. Hood National Forest within the fire perimeter are closed. Visit www.fs.usda.gov/alerts/mthood/alerts-notices for more information about the closure.  For the current smoke outlook and air quality information, visit: https://fires.airfire.org/outlooks/columbia_river_gorge_or_wa",Prescribed Fire,n/a
